,Unnamed: 0,type,name,count,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,L110,L111,L112,L113,L114,L115,L116,L117,L118,L119,L120,L121,L122,L123,L124,L125,L126,L127,L128,L129,L130,L131,L132,L133,L134,L135,L136,L137,L138,L139,L140,L141,L142,L143,L144,L145,L146,L147,L148,L149,L150,L151,L152,L153,L154,L155,L156,L157,L158,L159,L160,L161,L162,L163,L164,L165,L166,L167,L168,L169,L170,L171,L172,L173,L174,L175,L176,L177,L178,L179,L180,L181,L182,L183,L184,L185,L186,L187,L188,L189,L190,L191,L192,L193,L194,L195,L196,L197,L198,L199,L200,L201,L202,L203,L204,L205,L206,L207,L208,L209,L210,L211,L212,L213,L214,L215,L216,L217,L218,L219,L220,L221,L222,L223,L224,L225,L226,L227,L228,L229,L230,L231,L232,L233,L234,L235,L236,L237,L238,L239,L240,L241,L242,L243,L244,L245,L246,L247,L248,L249,L250,L251,L252,L253,L254,L255,L256,L257,L258,L259,L260,L261,L262,L263,L264,L265,L266,L267,L268,L269,L270,L271,L272,L273,L274,L275,L276,L277,L278,L279,L280,L281,L282,L283,L284,L285,L286,L287,L288,L289,L290,L291,L292,L293,L294,L295,L296,L297,L298,L299,L300,L301,L302
2,2,pullups,test1463.mp4,7,21,60,60.0,98.0,98.0,132.0,132.0,172.0,172.0,210.0,210.0,246.0,246.0,279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,squant,test2340.mp4,4,0,86,86.0,155.0,155.0,218.0,219.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,jump_jack,stu6_18.mp4,11,375,424,511.0,558.0,575.0,614.0,654.0,708.0,720.0,789.0,837.0,882.0,886.0,926.0,931.0,970.0,977.0,1056.0,1063.0,1112.0,1123.0,1180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,squat,stu4_66.mp4,27,62,94,96.0,130.0,132.0,168.0,172.0,210.0,215.0,250.0,262.0,297.0,298.0,327.0,333.0,371.0,373.0,407.0,413.0,449.0,453.0,491.0,492.0,524.0,530.0,563.0,569.0,601.0,602.0,634.0,635.0,670.0,672.0,707.0,712.0,749.0,750.0,783.0,785.0,818.0,822.0,858.0,864.0,896.0,899.0,933.0,939.0,975.0,975.0,1008.0,1013.0,1043.0,1046.0,1081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,pull_up,stu6_35.mp4,5,22,89,89.0,147.0,149.0,207.0,207.0,272.0,273.0,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,squat,stu9_63.mp4,20,25,80,81.0,135.0,135.0,196.0,196.0,254.0,254.0,316.0,317.0,384.0,384.0,457.0,457.0,526.0,526.0,583.0,583.0,643.0,643.0,705.0,705.0,773.0,774.0,834.0,834.0,903.0,903.0,975.0,975.0,1036.0,1036.0,1095.0,1095.0,1160.0,1160.0,1232.0,1232.0,1293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,pull_up,stu2_35.mp4,6,77,177,177.0,249.0,249.0,335.0,335.0,452.0,452.0,570.0,570.0,715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,push_up,stu7_49.mp4,50,309,354,354.0,382.0,382.0,403.0,403.0,426.0,426.0,450.0,451.0,472.0,472.0,495.0,495.0,515.0,515.0,536.0,536.0,557.0,558.0,578.0,579.0,600.0,600.0,623.0,623.0,644.0,644.0,666.0,666.0,687.0,687.0,709.0,710.0,732.0,732.0,754.0,755.0,774.0,774.0,798.0,798.0,818.0,820.0,843.0,844.0,863.0,863.0,885.0,885.0,906.0,907.0,929.0,930.0,950.0,951.0,972.0,972.0,997.0,998.0,1019.0,1020.0,1041.0,1042.0,1066.0,1067.0,1087.0,1089.0,1110.0,1111.0,1133.0,1135.0,1159.0,1160.0,1183.0,1185.0,1205.0,1205.0,1229.0,1230.0,1252.0,1253.0,1274.0,1275.0,1301.0,1303.0,1325.0,1326.0,1350.0,1352.0,1376.0,1376.0,1406.0,1408.0,1433.0,1435.0,1465.0,1467.0,1505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,push_up,stu9_51.mp4,62,4,24,24.0,43.0,43.0,61.0,61.0,81.0,81.0,101.0,102.0,119.0,119.0,137.0,137.0,155.0,155.0,174.0,174.0,193.0,193.0,213.0,213.0,232.0,232.0,251.0,251.0,269.0,269.0,286.0,286.0,305.0,305.0,323.0,323.0,343.0,343.0,363.0,363.0,381.0,381.0,398.0,398.0,420.0,420.0,438.0,438.0,457.0,457.0,476.0,476.0,496.0,496.0,513.0,513.0,532.0,533.0,552.0,552.0,571.0,572.0,590.0,590.0,611.0,611.0,630.0,630.0,651.0,651.0,671.0,671.0,691.0,691.0,711.0,711.0,731.0,731.0,753.0,753.0,773.0,773.0,795.0,795.0,816.0,816.0,836.0,836.0,858.0,858.0,878.0,879.0,900.0,900.0,921.0,921.0,942.0,942.0,964.0,964.0,987.0,1061.0,1084.0,1084.0,1106.0,1106.0,1127.0,1127.0,1148.0,1148.0,1169.0,1169.0,1190.0,1190.0,1214.0,1214.0,1236.0,1236.0,1258.0,1258.0,1283.0,1373.0,1397.0,1397.0,1418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,push_up,stu10_50.mp4,31,8,32,32.0,53.0,53.0,72.0,72.0,94.0,94.0,113.0,113.0,136.0,137.0,156.0,156.0,178.0,178.0,199.0,199.0,220.0,220.0,238.0,238.0,261.0,261.0,283.0,283.0,304.0,304.0,326.0,326.0,348.0,348.0,372.0,372.0,391.0,391.0,413.0,413.0,435.0,435.0,452.0,452.0,475.0,475.0,497.0,497.0,518.0,518.0,540.0,540.0,560.0,560.0,584.0,584.0,605.0,605.0,628.0,628.0,656.0,656.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
